,enc,type,count
229,494,"Callable[..., None]",40
230,82,"""""""Index""""""",40
231,3107,"Tuple[float, float]",40
232,1860,NettingChannelEndState,40
233,3165,Type[Any],40
234,1324,JsonDict,40
235,1149,HomematicipHAP,40
236,1354,LearnerReturnType,39
237,3471,Web3,39
238,3380,"Union[str, Path]",39
239,2636,RequestInterceptor,39
240,2476,PondPrivateTensor,39
241,1330,KT,39
242,3942,typing.List[str],39
243,2786,Sequence[int],39
244,986,FakeTime,39
245,204,"""""""Task""""""",38
246,2999,Transformation,38
247,896,DockerClient,38
248,221,"""""""Units""""""",38
249,361,AtomicDatabaseAPI,38
250,2935,TemplateVarsType,38
251,2722,Select,38
252,440,BlockAPI,38
253,1200,InitializerSpecs,38
254,3500,ZerverFieldsT,37
255,534,"Callable[[List[Entity], bool], None]",37
256,242,"""""""datetime""""""",37
257,322,AnyFunctionDef,37
258,12,"""""""Axes""""""",37
259,1804,MiningChain,37
260,894,Doc,37
261,658,ContractManager,37
262,231,"""""""WindowList""""""",37
263,3402,"Union[torch.Tensor, Tuple[torch.Tensor, torch.Tensor]]",37
264,1016,Flask,37
265,1697,List[np.ndarray],36
266,2679,RuntimeConfig,36
267,3546,agate.Table,36
268,872,"Dict[str, float]",36
269,2901,SupportedHashes,36
270,3986,web.Response,36
271,701,DataCatalog,36
272,2365,Optional[np.ndarray],36
273,584,ChainID,36
274,1163,IO,36
275,2495,Predictor,35
276,2077,Optional[IndexLabel],35
277,3833,steps.Step,35
278,3865,torch.Size,35
279,3570,ast.Call,35
280,908,DtypeObj,35
281,618,CommandLineOptions,35
282,685,Criterion,34
283,710,Database,34
284,1634,"List[Tuple[int, int]]",34
285,148,"""""""PondTensor""""""",34
286,3868,torch.device,34
287,1809,MockConfigEntry,34
288,214,"""""""Type[Model]""""""",34
289,3883,tp.FloatLoss,34
290,1003,FilePathOrBuffer,34
291,2501,PrivateKey,34
292,3984,web.Application,34
293,1823,ModelPart,34
294,3864,torch.LongTensor,34
295,622,ComponentFactory,33
296,3392,"Union[str, int]",33
297,1103,GraphQLSchema,33
298,1212,IntOrParameter,33
299,445,BlockHash,32
300,697,DType,32
301,3267,"Union[DataFrame, Series]",32
302,3443,ValueOrCallable,32
303,1099,GraphQLResult,32
304,2339,Optional[datetime.datetime],32
305,757,"Dict[ChannelID, NettingChannelState]",32
306,3887,tp.Iterator[Experiment],32
307,3004,TransitionResult[ChainState],32
308,1601,List[Tensor],32
309,3740,mock.Mock,32
310,3201,Type[T],32
311,1984,Optional[ConfigType],32
312,2844,Snapshot,32
313,936,Env,31
314,2995,TransactionHash,31
315,4,"""""""Alert""""""",31
316,3987,web.StreamResponse,31
317,2643,Resolver,31
318,1367,List['Block'],31
319,1770,"Mapping[str, str]",31
320,1126,HaSource,31
321,1971,Optional[Callable],31
322,1816,ModelAndData,31
323,3216,URLTypes,31
324,2693,Scalar,31
325,3746,models.User,31
326,2506,ProducerT,30
327,3815,slice,30
328,1643,"List[Tuple[str, str]]",30
329,2953,Text,30
330,1142,Helper,30
331,2919,TableData,30
332,3757,mx.sym.Symbol,30
333,3538,_T,30
334,597,ClauseElement,30
335,2713,Secret,29
336,3346,"Union[float, torch.Tensor]",29
337,3125,"Tuple[np.ndarray, np.ndarray]",29
338,3727,logging.LogRecord,29
339,2917,Table,29
340,3526,_NewMeta,29
341,3047,"Tuple[Optional[str], Any]",28
342,101,"""""""MasterKey""""""",28
343,2987,Trade,28
344,2193,Optional[Sequence[str]],28
345,1756,"Mapping[TP, int]",28
346,3870,torch.dtype,28
347,3765,np.dtype,28
348,2540,QuerySet,28
349,709,DataUpdateCoordinator,28
350,2867,StateChange,28
351,3814,set,28
352,2237,Optional[TracebackType],28
353,917,Element,28
354,21,"""""""BlockManager""""""",27
355,1988,Optional[Context],27
356,2991,Trainer,27
357,388,Balance,27
358,1609,List[Token],27
359,200,"""""""Styler""""""",27
360,567,CallbackContext,27
361,2959,Time,27
362,2884,StreamResponse,27
363,1209,Instance,27
364,3535,_Settings,27
365,3789,pd.Series,27
366,1883,Nvim,27
367,414,BaseRequest,27
368,1468,List[Event],27
369,412,BaseRelation,27
370,2464,Pipeline,27
371,1607,List[TokenAddress],27
372,2156,Optional[Path],26
373,2554,RPC,26
374,1233,Iterable[Any],26
375,2026,Optional[DtypeObj],26
376,2799,ServiceCall,26
377,3451,Version,26
378,3188,Type[MODEL],26
379,1344,LN,26
380,1260,Iterable[State],26
381,3617,config.RawConfig,26
382,1039,FrameType,26
383,2969,Token,26
384,2832,Signature,25
385,2025,Optional[DtypeArg],25
386,1713,List[vocab.Vocab],25
387,605,ClientSession,25
388,1875,NodeType,25
389,277,ASGIApp,25
390,3415,Update,25
391,474,CALLABLE_T,25
392,3889,tp.List[float],25
393,2952,TestingContext,25
394,827,"Dict[str, Integration]",25
395,945,EvalReturnType,24
396,3882,"tp.Dict[str, tp.Any]",24
397,2955,TextIO,24
398,2522,ProxyManager,24
399,213,"""""""TxWindow""""""",24
400,1084,GlobalInfo,24
401,263,"""""""prefect.engine.state.State""""""",24
402,619,CommandParser,24
403,2255,Optional[Type[BaseException]],24
404,718,DateType,24
405,2651,Result,23
406,3147,"Tuple[torch.Tensor, torch.Tensor]",23
407,2944,Term,23
408,92,"""""""KeyList""""""",23
409,3785,pathlib.Path,23
410,2444,PaymentAmount,23
411,3495,XYZ,23
412,2083,Optional[Iterable[str]],23
413,290,AbstractTensor,23
414,2514,ProjectMetadata,23
415,3511,_AppT,23
416,847,"Dict[str, Result]",23
417,1214,Integration,23
418,2475,PondMaskedTensor,23
419,2947,TestClient,23
420,999,FileBlock,23
421,2478,PondTensor,23
422,3953,typing.Optional[str],22
423,893,DistributionOutput,22
424,3787,pd.DatetimeIndex,22
425,819,"Dict[str, Dict[str, int]]",22
426,2922,TableName,22
427,866,"Dict[str, any]",22
428,994,Field,22
429,1081,GitRepoManagerClient,22
430,1789,MessageAPI,22
431,158,"""""""QuerySet[MODEL]""""""",22
432,3108,"Tuple[int, ...]",22
433,251,"""""""ks.Series[str]""""""",22
434,3749,mx.Context,22
435,3377,"Union[str, List[str]]",22
436,3003,TransitionResult,22
437,476,CDPSession,21
438,2513,Project,21
439,3708,int128,21
440,2869,StateType,21
441,650,ConsumerT,21
442,1323,JournalDBCheckpoint,21
443,3444,Variable,21
444,3023,"Tuple[Any, ...]",21
445,883,"Dict[str, tf.Tensor]",21
446,3135,"Tuple[str, int]",21
447,573,CanonicalIdentifier,21
448,3906,tp.Sequence[Optim],21
449,2414,Params,21
450,1877,Nonce,21
451,3537,_SubQuery,21
452,145,"""""""Point2""""""",21
453,373,AutomationActionType,21
454,307,AddonStopper,21
455,1775,Match[str],21
456,1329,K8SAPIClient,20
457,3697,httputil.HTTPServerRequest,20
458,1108,GroupIntegrationRegistry,20
459,1938,Optional[AbstractFactory],20
460,1160,HybridBlock,20
461,3838,sublime.Edit,20
462,3694,httputil.HTTPHeaders,20
463,1311,JSON,20
464,3835,str_t,20
465,2893,SubmitMocks,20
466,519,"Callable[[DecoratedCallable], DecoratedCallable]",20
467,998,File,20
468,106,"""""""Model""""""",20
469,2755,Sequence[Any],20
470,1051,Future,20
471,2576,ReaderHelper,20
472,3317,"Union[Unit, Point2, Point3]",20
473,2850,SourceFile,20
474,1810,MockFixture,20
475,3571,ast.ClassDef,20
476,3603,bytearray,20
477,247,"""""""ks.Series[bool]""""""",20
478,3572,ast.Compare,19
479,833,"Dict[str, List[Any]]",19
480,995,FieldDescriptorT,19
481,1963,"Optional[Callable[[Any], None]]",19
482,1821,ModelField,19
483,309,AddressHex,19
484,3405,"Union[torch.Tensor, float]",19
485,1820,ModelDescriptionAndData,19
486,970,Explanation,19
487,566,"Callable[[tf.Tensor], tf.Tensor]",19
488,1193,IndexedTokenList,19
489,2431,PartitionAssignorT,19
490,2209,Optional[State],19
491,569,CancelMocks,19
492,2800,ServiceCallType,19
493,2861,SqlaTable,19
494,15,"""""""BaseDatasource""""""",19
495,3872,torch.nn.Module,19
496,2865,StateAPI,19
497,3790,pd.Timestamp,19
498,3574,ast.If,19
499,222,"""""""User""""""",19
500,3547,aiohttp.ClientSession,19
501,792,"Dict[int, Set[int]]",18
502,3806,requests.Response,18
503,1049,FuncT,18
504,3059,"Tuple[Tensor, Tensor]",18
505,2111,Optional[List[Tuple]],18
506,1729,LogType,18
507,444,BlockExpiration,18
508,937,Environment,18
509,3839,sublime.View,18
510,1052,FutureMessage,18
511,3932,"typing.Dict[str, typing.Any]",18
512,2375,Optional[torch.BoolTensor],18
513,1259,Iterable[ServiceT],18
514,3982,uuid.UUID,18
515,2983,TracebackType,18
516,3554,ap.BaseActivity,18
517,81,"""""""HomeAssistant""""""",18
518,2933,Template,18
519,2212,Optional[Stream],18
520,1017,FlaskClient,18
521,3775,ondisk.DNode,18
522,3778,opentracing.Span,18
523,1553,List[RouteState],18
524,2977,TokenNetworkState,18
525,1745,ManifestNode,18
526,2447,PaymentID,18
527,3234,"Union['Series', 'Index']",17
528,74,"""""""GradientDescentTrainer""""""",17
529,1510,List[Message],17
530,1208,InstaloaderContext,17
531,1140,HeadersArg,17
532,3863,torch.FloatTensor,17
533,2096,"Optional[List[Dict[str, Any]]]",17
534,2147,Optional[NpDtype],17
535,674,Coroutine,17
536,11,"""""""ArrayManager""""""",17
537,627,CompressionOptions,17
538,2581,ReceiptAPI,17
539,223,"""""""UserInput""""""",17
540,724,DecodedEvent,17
541,2703,SchemaT,17
542,1946,Optional[Awaitable[None]],17
543,3343,"Union[float, int]",17
544,1586,List[StateChange],17
545,2900,SupportedEncryption,17
546,271,A,17
547,1285,Iterable[int],17
548,1812,Mocker,17
549,1483,List[Index],16
550,3446,Vector3Like,16
551,10,"""""""Application""""""",16
552,3307,"Union[Scalar, 'Series']",16
553,3120,"Tuple[int, str]",16
554,2441,Pattern,16
555,2321,Optional[ast.AST],16
556,2312,Optional[_ExcInfo],16
557,992,FeedDict,16
558,1475,List[Future],16
559,377,Awaitable[RecordMetadata],16
560,1721,LockedTransferSignedState,16
561,3423,UserGroup,16
562,3737,metrics.Batch,16
563,343,Args,16
564,892,Distribution,16
565,89,"""""""Iterable[Model]""""""",16
566,797,"Dict[int, int]",16
567,3379,"Union[str, PathLike]",16
568,3853,tf.Variable,16
569,570,Candidate,16
570,2508,Profile,16
571,1337,Key,16
572,1206,Inspector,16
573,839,"Dict[str, List[str]]",16
574,289,AbstractStreamWriter,16
575,2066,Optional[HeadersArg],16
576,2469,Point2,16
577,1589,List[Stream],16
578,3544,_bytes,15
579,2980,TopicT,15
580,1414,List[Block],15
581,3173,Type[ChainAPI],15
582,3994,yaml.nodes.Node,15
583,683,Credentials,15
584,434,BigQueryRelation,15
585,3732,markdown.Markdown,15
586,3363,"Union[int, torch.device]",15
587,3479,WithdrawAmount,15
588,1830,Molecule,15
589,1519,List[NettingChannelState],15
590,2751,Sequence,15
591,2078,Optional[Index],15
592,990,FeeAmount,15
593,1563,List[ScanJob],15
594,2968,TlsVersionEnum,15
595,3700,httpx.Response,15
596,2052,Optional[FrameType],15
597,1506,List[LogMessage],15
598,2373,Optional[timedelta],15
599,3502,ZhaDeviceType,15
600,1558,List[Run],15
601,3699,httpx.Request,15
602,3655,dt.datetime,15
603,2484,Ports,15
604,3561,argparse.ArgumentParser,14
605,151,"""""""Project""""""",14
606,3467,WLEDDataUpdateCoordinator,14
607,2993,TransactionContextAPI,14
608,1215,InteractMocks,14
609,1888,OT,14
610,630,ConditionTransform,14
611,589,ChannelT,14
612,1292,Iterator,14
613,593,ChromecastInfo,14
614,1300,Iterator[Port],14
615,1202,InitiatorPaymentState,14
616,629,ConditionCheckerType,14
617,1724,Locksroot,14
618,3762,nn.Module,14
619,109,"""""""ModelField""""""",14
620,502,"Callable[[Any], Any]",14
621,2942,TensorboardManager,14
622,920,EmailMessage,14
623,2724,SelectionSpec,14
624,3376,"Union[str, Iterable[str]]",14
625,3665,ep.TensorType,14
626,3874,torch.optim.Optimizer,14
627,2436,PathLike,14
628,1456,List[Dimension],14
629,3968,"typing.Union[str, bytes]",14
630,3989,websocket_api.ActiveConnection,14
631,2879,StrOrURL,14
632,881,"Dict[str, tf.DType]",14
633,2263,"Optional[Union[ArrayLike, Number]]",14
634,3332,"Union[bool, str]",14
635,2841,Slice,14
636,2709,SearchStrategy[Ex],14
637,3337,"Union[bytes, str]",14
638,3648,datetime.timedelta,14
639,8,"""""""App""""""",14
640,1318,JSON_TYPE,14
641,3390,"Union[str, int, Resample]",14
642,2229,Optional[Text],14
643,335,Application,14
644,2283,"Optional[Union[int, Iterable]]",14
645,389,BalanceHash,14
646,27,"""""""CIMultiDict[str]""""""",14
647,583,ChainGaps,14
648,1143,HelperTestSource,14
649,2962,TimeSeriesSlice,14
650,3831,st.SearchStrategy[np.dtype],14
651,315,Alert,13
652,375,Awaitable,13
653,144,"""""""Pipeline""""""",13
654,3304,"Union[Path, str]",13
655,3614,condition.ConditionCheckerType,13
656,2448,PaymentWithFeeAmount,13
657,882,"Dict[str, tf.TensorShape]",13
658,2354,Optional[list],13
659,778,"Dict[Tuple[int, int, int], float]",13
660,867,"Dict[str, bool]",13
661,1180,IdMapper,13
662,698,Dashboard,13
663,2596,RecordMetadata,13
664,3653,dt,13
665,2400,P,13
666,2790,SerializedSQLiteStorage,13
667,1719,LockedAmount,13
668,1520,List[Node],13
669,274,ABY3PrivateTensor,13
670,961,Exchange,13
671,1903,OpenHeadersArg,13
672,2118,Optional[List[float]],13
673,944,EvalFnType,13
674,1733,LoopState,13
675,2827,Shape,13
676,1793,MessageSentCallback,13
677,777,"Dict[Tuple[TokenNetworkAddress, Address], NettingChannelState]",13
678,3964,"typing.Union[ClauseElement, str]",13
679,3352,"Union[int, Tuple[int, int]]",13
680,3599,behave.runner.Context,13
681,928,Engine,13
682,2924,TargetAddress,13
683,235,"""""""_CodeWriter""""""",13
684,1783,MediatorTransferState,13
685,3849,tf.Operation,13
686,3836,str_type,13
687,3403,"Union[torch.Tensor, float, Tuple[float, float], List[float]]",13
688,66,"""""""Future[None]""""""",13
689,3477,WindowSetT,13
690,3584,ast.Try,13
691,1941,Optional[Address],13
692,1139,Headers,13
693,3398,"Union[tf.Tensor, np.ndarray]",13
694,2000,Optional[Dataset],13
695,1127,HaUpdater,13
696,670,ControllerData,13
697,3892,tp.List[str],13
698,820,"Dict[str, Dict[str, str]]",13
699,3818,socket.AddressFamily,13
700,3826,ssl.SSLContext,13
701,654,ContextConfig,12
702,1644,"List[Tuple[str, torch.nn.Parameter]]",12
703,1484,List[Instance],12
704,1852,NL,12
705,1492,List[Leaf],12
706,2190,Optional[Sequence[Hashable]],12
707,2184,Optional[ScanCommandExtraArguments],12
708,3761,nn.HybridBlock,12
709,2883,StreamReader,12
710,302,AdapterRequiredConfig,12
711,2956,TfTensor,12
712,293,AccountState,12
713,3425,UserId,12
714,119,"""""""OnionService""""""",12
715,3410,Unit,12
716,3751,mx.gluon.HybridBlock,12
717,1777,MatrixTransport,12
718,962,ExecutionContext,12
719,2309,Optional[WindowSize],12
720,1122,HTTPResponse,12
721,1535,List[Path],12
722,439,Block,12
723,2593,Recipient,12
724,3569,ast.BoolOp,12
725,3980,utils.SendSecretRevealInNode,12
726,1826,ModelType,12
727,758,"Dict[Edge, State]",12
728,3190,Type[ModelT],12
729,3327,"Union[bool, Tuple[float, float]]",12
730,3983,vol.Schema,12
731,2519,ProtectionReturn,12
