,enc,type,count
240,572,PondPrivateTensor,39
241,351,KT,39
242,983,typing.List[str],39
243,634,Sequence[int],39
244,263,FakeTime,39
245,44,"""""""Task""""""",38
246,724,Transformation,38
247,242,DockerClient,38
248,49,"""""""Units""""""",38
249,91,AtomicDatabaseAPI,38
250,697,TemplateVarsType,38
251,627,Select,38
252,109,BlockAPI,38
253,318,InitializerSpecs,38
254,837,ZerverFieldsT,37
255,129,"Callable[[List[Entity], bool], None]",37
256,54,"""""""datetime""""""",37
257,84,AnyFunctionDef,37
258,4,"""""""Axes""""""",37
259,437,MiningChain,37
260,241,Doc,37
261,172,ContractManager,37
262,52,"""""""WindowList""""""",37
263,804,"Union[torch.Tensor, Tuple[torch.Tensor, torch.Tensor]]",37
264,273,Flask,37
265,407,List[np.ndarray],36
266,614,RuntimeConfig,36
267,851,agate.Table,36
268,230,"Dict[str, float]",36
269,683,SupportedHashes,36
270,995,web.Response,36
271,187,DataCatalog,36
272,545,Optional[np.ndarray],36
273,142,ChainID,36
274,311,IO,36
275,577,Predictor,35
276,499,Optional[IndexLabel],35
277,942,steps.Step,35
278,957,torch.Size,35
279,859,ast.Call,35
280,245,DtypeObj,35
281,156,CommandLineOptions,35
282,181,Criterion,34
283,194,Database,34
284,394,"List[Tuple[int, int]]",34
285,31,"""""""PondTensor""""""",34
286,959,torch.device,34
287,439,MockConfigEntry,34
288,46,"""""""Type[Model]""""""",34
289,967,tp.FloatLoss,34
290,270,FilePathOrBuffer,34
291,578,PrivateKey,34
292,993,web.Application,34
293,447,ModelPart,34
294,956,torch.LongTensor,34
295,158,ComponentFactory,33
296,802,"Union[str, int]",33
297,291,GraphQLSchema,33
298,326,IntOrParameter,33
299,111,BlockHash,32
300,185,DType,32
301,773,"Union[DataFrame, Series]",32
302,817,ValueOrCallable,32
303,290,GraphQLResult,32
304,537,Optional[datetime.datetime],32
305,208,"Dict[ChannelID, NettingChannelState]",32
306,969,tp.Iterator[Experiment],32
307,726,TransitionResult[ChainState],32
308,390,List[Tensor],32
309,907,mock.Mock,32
310,761,Type[T],32
311,482,Optional[ConfigType],32
312,661,Snapshot,32
313,250,Env,31
314,723,TransactionHash,31
315,0,"""""""Alert""""""",31
316,996,web.StreamResponse,31
317,606,Resolver,31
318,358,List['Block'],31
319,427,"Mapping[str, str]",31
320,296,HaSource,31
321,481,Optional[Callable],31
322,444,ModelAndData,31
323,763,URLTypes,31
324,617,Scalar,31
325,908,models.User,31
326,579,ProducerT,30
327,936,slice,30
328,396,"List[Tuple[str, str]]",30
329,704,Text,30
330,302,Helper,30
331,687,TableData,30
332,912,mx.sym.Symbol,30
333,848,_T,30
334,148,ClauseElement,30
335,622,Secret,29
336,785,"Union[float, torch.Tensor]",29
337,745,"Tuple[np.ndarray, np.ndarray]",29
338,900,logging.LogRecord,29
339,686,Table,29
340,843,_NewMeta,29
341,735,"Tuple[Optional[str], Any]",28
342,21,"""""""MasterKey""""""",28
343,718,Trade,28
344,515,Optional[Sequence[str]],28
345,425,"Mapping[TP, int]",28
346,960,torch.dtype,28
347,917,np.dtype,28
348,589,QuerySet,28
349,193,DataUpdateCoordinator,28
350,670,StateChange,28
351,935,set,28
352,522,Optional[TracebackType],28
353,246,Element,28
354,6,"""""""BlockManager""""""",27
355,483,Optional[Context],27
356,721,Trainer,27
357,98,Balance,27
358,392,List[Token],27
359,43,"""""""Styler""""""",27
360,134,CallbackContext,27
361,707,Time,27
362,676,StreamResponse,27
363,323,Instance,27
364,846,_Settings,27
365,929,pd.Series,27
366,466,Nvim,27
367,105,BaseRequest,27
368,366,List[Event],27
369,104,BaseRelation,27
370,568,Pipeline,27
371,391,List[TokenAddress],27
372,510,Optional[Path],26
373,590,RPC,26
374,332,Iterable[Any],26
375,491,Optional[DtypeObj],26
376,639,ServiceCall,26
377,820,Version,26
378,758,Type[MODEL],26
379,353,LN,26
380,337,Iterable[State],26
381,875,config.RawConfig,26
382,281,FrameType,26
383,710,Token,26
384,653,Signature,25
385,490,Optional[DtypeArg],25
386,412,List[vocab.Vocab],25
387,151,ClientSession,25
388,463,NodeType,25
389,67,ASGIApp,25
390,809,Update,25
391,117,CALLABLE_T,25
392,970,tp.List[float],25
393,703,TestingContext,25
394,221,"Dict[str, Integration]",25
395,253,EvalReturnType,24
396,966,"tp.Dict[str, tp.Any]",24
397,705,TextIO,24
398,584,ProxyManager,24
399,45,"""""""TxWindow""""""",24
400,286,GlobalInfo,24
401,60,"""""""prefect.engine.state.State""""""",24
402,157,CommandParser,24
403,525,Optional[Type[BaseException]],24
404,198,DateType,24
405,609,Result,23
406,752,"Tuple[torch.Tensor, torch.Tensor]",23
407,701,Term,23
408,20,"""""""KeyList""""""",23
409,926,pathlib.Path,23
410,562,PaymentAmount,23
411,836,XYZ,23
412,501,Optional[Iterable[str]],23
413,72,AbstractTensor,23
414,582,ProjectMetadata,23
415,839,_AppT,23
416,226,"Dict[str, Result]",23
417,327,Integration,23
418,571,PondMaskedTensor,23
419,702,TestClient,23
420,269,FileBlock,23
421,574,PondTensor,23
422,984,typing.Optional[str],22
423,240,DistributionOutput,22
424,928,pd.DatetimeIndex,22
425,218,"Dict[str, Dict[str, int]]",22
426,688,TableName,22
427,228,"Dict[str, any]",22
428,266,Field,22
429,285,GitRepoManagerClient,22
430,434,MessageAPI,22
431,33,"""""""QuerySet[MODEL]""""""",22
